y_true,y_pred_xgb,error_xgb
7.25,7.7340555,-0.4840555191040039
6.6,7.0303845,-0.4303845405578617
6.8,7.3635526,-0.5635525703430178
3.8,5.907081,-2.1070811271667482
6.2,6.817312,-0.6173117637634276
7.0,5.813303,1.186697006225586
6.8,6.7402544,0.05974559783935529
6.4,6.5225105,-0.12251052856445277
6.2,6.0866365,0.1133634567260744
6.4,7.040743,-0.6407428741455075
7.0,6.9277864,0.07221364974975586
7.0,7.025624,-0.025623798370361328
6.8,6.991265,-0.19126482009887713
6.4,6.936909,-0.536909198760986
7.4,7.2890882,0.11091175079345739
6.75,7.2847366,-0.5347366333007812
6.5,7.005634,-0.5056338310241699
6.0,6.847995,-0.8479948043823242
7.6,7.707372,-0.10737218856811559
7.8,6.8135805,0.9864194869995115
7.6,7.6391034,-0.03910341262817418
7.6,7.5814095,0.01859054565429652
7.0,6.9570646,0.04293537139892578
8.5,7.712519,0.7874808311462402
7.2,7.0377445,0.16225547790527362
6.8,6.8140426,-0.014042568206787287
6.5,6.94874,-0.44874000549316406
7.5,7.1458654,0.35413455963134766
7.5,6.8209352,0.6790647506713867
6.25,6.9910007,-0.7410006523132324
5.2,5.7105165,-0.5105164527893065
6.0,6.747842,-0.7478418350219727
6.6,6.592024,0.007976150512694957
6.6,7.0261836,-0.42618360519409215
3.5,6.762299,-3.262299060821533
6.5,6.483013,0.016986846923828125
6.0,6.8460293,-0.8460292816162109
6.8,6.9650826,-0.16508264541625994
7.0,7.072963,-0.07296323776245117
6.8,7.0022807,-0.20228071212768572
6.75,6.892343,-0.14234304428100586
7.6,7.2730575,0.32694253921508754
7.0,7.0690746,-0.06907463073730469
6.25,6.9520793,-0.7020792961120605
7.2,6.538486,0.6615139961242678
8.6,7.710098,0.8899022102355953
5.8,7.5307407,-1.7307407379150392
8.0,7.7408023,0.2591977119445801
7.4,7.5582457,-0.15824565887451136
6.8,6.9375873,-0.13758726119995135
7.0,7.7157326,-0.7157325744628906
7.4,6.943854,0.4561461448669437
7.8,7.007773,0.7922270774841307
5.666666666666667,6.83959,-1.172923405965169
7.8,7.2359185,0.5640814781188963
7.2,7.1602783,0.03972167968750018
6.8,6.96355,-0.1635500907897951
7.0,5.964842,1.0351581573486328
7.8,6.1544905,1.6455095291137694
8.0,6.5125175,1.4874825477600098
5.8,6.9696383,-1.1696383476257326
7.2,5.7990484,1.4009515762329103
6.75,6.556648,0.19335222244262695
7.0,6.501865,0.4981350898742676
7.2,6.868564,0.33143587112426776
7.0,7.1138797,-0.11387968063354492
6.8,6.96919,-0.16919012069702166
7.5,6.9370923,0.5629076957702637
7.75,7.712521,0.03747892379760742
7.25,6.964288,0.28571176528930664
7.5,7.033556,0.4664440155029297
8.0,6.9761314,1.0238685607910156
7.5,7.767877,-0.26787710189819336
6.75,6.6355157,0.11448431015014648
7.0,7.7228217,-0.7228217124938965
7.8,7.3735876,0.4264123916625975
7.8,6.909154,0.8908460617065428
7.0,7.163045,-0.16304492950439453
7.666666666666667,7.0723276,0.5943390528361006
7.25,7.5150933,-0.2650933265686035
5.0,6.204881,-1.204881191253662
7.5,7.6310263,-0.1310262680053711
7.2,6.976548,0.22345180511474627
8.2,6.9999475,1.2000524520874016
3.0,6.4430914,-3.44309139251709
6.4,7.3725595,-0.972559547424316
6.25,7.477987,-1.2279868125915527
6.4,6.499037,-0.09903678894042933
6.6,6.450967,0.149033164978027
7.5,6.5469985,0.9530014991760254
7.0,6.9212613,0.07873868942260742
7.0,6.9230103,0.07698965072631836
7.2,7.1519804,0.04801959991455096
7.6,6.942452,0.6575480461120602
7.6,7.0196843,0.5803156852722164
7.75,7.5367594,0.2132406234741211
7.8,6.9235544,0.8764455795288084
6.8,7.2078795,-0.40787954330444354
8.0,7.3688583,0.6311416625976562
7.2,7.104386,0.09561414718627947
7.8,7.0015554,0.7984445571899412
7.5,7.1944947,0.30550527572631836
7.75,7.585179,0.16482114791870117
8.0,7.544116,0.4558839797973633
7.0,7.0719814,-0.07198143005371094
7.4,7.5426908,-0.14269075393676722
7.6,6.8429985,0.7570014953613278
5.5,5.946649,-0.44664907455444336
7.4,7.2833242,0.11667575836181676
7.2,6.8929825,0.3070175170898439
7.0,7.3674974,-0.36749744415283203
6.6,5.424855,1.1751447677612301
6.4,6.8243923,-0.4243923187255856
6.5,6.797838,-0.2978382110595703
6.0,6.605961,-0.6059608459472656
7.4,6.0322037,1.367796325683594
