y_true,y_pred_lstm,error_lstm
7.0583334,7.625297,-0.5669637
7.3,7.0473914,0.25260878
7.0,6.946167,0.053833008
8.0,7.2614684,0.7385316
7.75,7.2575965,0.4924035
7.125,7.733122,-0.6081219
7.2,7.1018443,0.0981555
7.25,6.8906446,0.35935545
8.1,7.5912237,0.50877666
7.95,7.69917,0.2508297
7.3,6.93697,0.36302996
8.05,7.51463,0.53537035
6.8,7.178355,-0.37835503
7.6,7.1042423,0.49575758
7.5,7.095957,0.4040432
7.0,7.0217223,-0.021722317
6.0,6.1736565,-0.17365646
7.4,6.4939027,0.9060974
6.2,6.293569,-0.09356928
6.8,7.4644485,-0.66444826
7.4,7.0352015,0.36479855
7.0,6.8819027,0.118097305
7.0,7.391417,-0.39141703
8.0,7.407874,0.5921259
6.5,7.609054,-1.1090541
7.4,7.207016,0.1929841
7.6,7.1747155,0.4252844
8.2,7.7062902,0.49370956
8.0,7.6867886,0.31321144
7.4,6.986929,0.41307116
8.4,7.5836177,0.81638193
7.25,7.1996465,0.050353527
6.3333335,7.1740956,-0.84076214
7.0,7.0285172,-0.028517246
5.5,6.1460323,-0.64603233
6.6666665,6.7797027,-0.113036156
6.0,6.3939943,-0.39399433
7.0,7.107858,-0.10785818
7.3333335,6.864497,0.4688363
7.5,7.1315393,0.36846066
7.0,7.4968786,-0.49687862
7.6666665,7.26498,0.40168667
7.0,7.3151493,-0.3151493
7.3333335,7.788273,-0.45493937
8.0,7.6413083,0.3586917
7.0,7.050971,-0.05097103
7.0,7.6820745,-0.68207455
7.2,7.141164,0.058835983
7.2,7.2026763,-0.002676487
6.0,6.517968,-0.5179682
7.4,6.7702127,0.62978745
7.4,7.012476,0.38752413
6.2,6.497415,-0.29741526
7.0,7.1882725,-0.18827248
7.6,7.2964244,0.30357552
6.25,6.775886,-0.52588606
6.2,7.2422557,-1.0422559
7.0,7.3473816,-0.3473816
6.0,6.923162,-0.923162
6.6,6.83646,-0.23646021
6.6,7.239252,-0.6392522
5.75,6.9909973,-1.2409973
6.8,7.2720637,-0.47206354
6.2,6.8157625,-0.6157627
5.8333335,7.201774,-1.3684406
7.2,7.0161242,0.18387556
7.6,6.4919767,1.1080232
6.4,7.0875854,-0.68758535
7.0,6.977155,0.022844791
8.0,7.4453487,0.55465126
6.25,7.1539593,-0.9039593
7.0,7.0491276,-0.04912758
7.2,7.2754564,-0.07545662
5.4,7.172888,-1.7728877
6.2,7.0454926,-0.84549284
5.8,6.8473697,-1.0473695
6.2,6.598134,-0.39813423
6.6,6.87952,-0.27952003
5.4,6.049591,-0.64959097
8.2,6.9595437,1.2404561
7.0,6.8555846,0.14441538
7.4,5.933047,1.4669533
7.0,7.3678575,-0.36785746
7.4,6.890601,0.50939894
6.4,7.420996,-1.0209961
6.8,6.947267,-0.14726686
7.0,7.086697,-0.0866971
7.0,6.1830087,0.8169913
